Searched Media,Result,URL,Category,Success or Failure
Ghost World,Ghost World,https://www.amazon.co.uk/Ghost-World-Thora-Birch/dp/B00ET02C4Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524464843&sr=1-1&keywords=Ghost+World,NULL,Sucessfully Found
Ghost World,Ghost World,https://www.amazon.co.uk/Ghost-World-Thora-Birch/dp/B00ET02C4Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524482752&sr=1-1&keywords=Ghost+World,NULL,Sucessfully Found
Ghost World,Ghost World,https://www.amazon.co.uk/Ghost-World-Thora-Birch/dp/B00ET02C4Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524482794&sr=1-1&keywords=Ghost+World&dpID=41i-yibYT5L&preST=_SY300_QL70_&dpSrc=srch,NULL,Sucessfully Found
Sonic Boom,"Sonic Boom, Vol. 1: The Sidekick",https://www.amazon.co.uk/The-Sidekick/dp/B01BH7ZAAO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524482901&sr=1-1&keywords=Sonic+Boom,NULL,Sucessfully Found
Ghost World,Ghost World,https://www.amazon.co.uk/Ghost-World-Thora-Birch/dp/B00ET02C4Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524557562&sr=1-1&keywords=Ghost+World,NULL,Sucessfully Found
Ghost Rider,Ghost Rider,https://www.amazon.co.uk/Ghost-Rider-Nicolas-Cage/dp/B00GS8023S/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524557647&sr=1-1&keywords=Ghost+Rider,NULL,Sucessfully Found
Ghost Rider,Ghost Rider,https://www.amazon.co.uk/Ghost-Rider-Nicolas-Cage/dp/B00GS8023S/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524803274&sr=1-1&keywords=Ghost+Rider&dpID=512BE%252B0V57L&preST=_SY300_QL70_&dpSrc=srch,NULL,Sucessfully Found
Sonic Boom,"Sonic Boom, Vol. 1: The Sidekick",https://www.amazon.co.uk/The-Sidekick/dp/B01BH7ZAAO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524803349&sr=1-1&keywords=Sonic+Boom,NULL,Sucessfully Found
Ghost Rider,Ghost Rider,https://www.amazon.co.uk/Ghost-Rider-Nicolas-Cage/dp/B00GS8023S/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524823768&sr=1-1&keywords=Ghost+Rider,NULL,Sucessfully Found
Highlander,Highlander (30th Anniversary Edition),https://www.amazon.co.uk/Highlander-30th-Anniversary-Christopher-Lambert/dp/B01HSXFPGK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524823994&sr=1-1&keywords=Highlander,NULL,Sucessfully Found
Highlander,Highlander (30th Anniversary Edition),https://www.amazon.co.uk/Highlander-30th-Anniversary-Christopher-Lambert/dp/B01HSXFPGK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524824131&sr=1-1&keywords=Highlander,NULL,Sucessfully Found
Star Trek,Star Trek Beyond,https://www.amazon.co.uk/Star-Trek-Beyond-John-Cho/dp/B01IQH3JQK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524824328&sr=1-1&keywords=Star+Trek,NULL,Sucessfully Found
Star Trek,Star Trek Beyond,https://www.amazon.co.uk/Star-Trek-Beyond-John-Cho/dp/B01IQH3JQK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524825115&sr=1-1&keywords=Star+Trek,NULL,Sucessfully Found
Star Trek,Star Trek Beyond,https://www.amazon.co.uk/Star-Trek-Beyond-John-Cho/dp/B01IQH3JQK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1524825286&sr=1-1&keywords=Star+Trek&dpID=51uX23tgRpL&preST=_SY300_QL70_&dpSrc=srch,NULL,Sucessfully Found
